compound,time.pt,unlabeled,labeled
threonine,0,287.9,430484
threonine,0,473.78,488396.25
threonine,0,235.38,469099.25
threonine,4,1031.42,440008.62
threonine,4,741.19,436750.34
threonine,4,576.95,417538.78
threonine,8,2101.48,463693.38
threonine,8,1948.57,417244.84
threonine,8,1637.04,395989.09
threonine,12,2866.83,407970.47
threonine,12,3609.44,380754
threonine,12,3275.71,439699.84
tyrosine,0,76.7,353086.75
tyrosine,0,79.58,407587.66
tyrosine,0,66.19,430554.84
tyrosine,4,968.23,375642.47
tyrosine,4,716.81,371305.25
tyrosine,4,795.12,363588.12
tyrosine,8,2077.93,385068
tyrosine,8,1576.39,342683.59
tyrosine,8,1580.58,322153.66
tyrosine,12,3037.83,341373.66
tyrosine,12,2362.89,337613.16
tyrosine,12,3057.83,377941.34
lysine,0,167.69,178090.05
lysine,0,368.36,197744.12
lysine,0,250.14,196886.19
lysine,4,786.41,210402.77
lysine,4,769.13,163917.31
lysine,4,530.41,166894.33
lysine,8,1261.38,185064.17
lysine,8,1522.46,164762.17
lysine,8,1293.88,158708.45
lysine,12,2538.76,159932.08
lysine,12,2481.32,146822.19
lysine,12,1937.9,158998.48
