compound,time.pt,unlabeled,labeled
tyrosine,0,2890.17,282099.59
tyrosine,0,2011.21,344612.78
tyrosine,0,406.43,386174.25
tyrosine,4,2991.97,335534.25
tyrosine,4,3094.86,415835.34
tyrosine,4,3042.08,435818.59
tyrosine,8,4236.72,322634.59
tyrosine,8,4337.4,373204.66
tyrosine,8,4003.9,413546.91
tyrosine,12,5576.82,323214.41
tyrosine,12,5695.89,425591.41
tyrosine,12,6758.24,459967.75
threonine,0,1752.59,522321.91
threonine,0,1953.12,610629.5
threonine,0,2099.44,490865
threonine,4,5090.9,686164.19
threonine,4,6605.05,585293.44
threonine,4,5347.16,751307.69
threonine,8,10613.5,776195.81
threonine,8,9431.35,830864.31
threonine,8,8378.46,620620.25
threonine,12,11712.77,710940.44
threonine,12,9737.5,792678.31
threonine,12,11627.58,911377.81
lysine,0,3814.73,787213.69
lysine,0,7495.13,777590.81
lysine,0,4254.98,780671.75
lysine,4,15261.66,833870.06
lysine,4,12484.47,688978.38
lysine,4,12332.35,748242.75
lysine,8,18112.73,589212
lysine,8,15255.58,626922.44
lysine,8,14606.04,620234.31
lysine,12,21514.4,471254.09
lysine,12,19011.51,573767.56
lysine,12,17848.14,565513.06
