compound,time.pt,unlabeled,labeled
lysine,0,57.825,63882.67
lysine,0,78.83,66766.3
lysine,0,28.91,71131.565
lysine,4,114.315,64125.28
lysine,4,148.8,66779.29
lysine,4,25.61,61976.745
lysine,8,77.17,62938.34
lysine,8,207.305,55296.625
lysine,8,289.64,75372.445
lysine,12,260.155,57423.325
lysine,12,116.66,41957.125
lysine,12,255.07,57877.435
lysine,24,607.775,42574.445
lysine,24,1120.325,56884.08
lysine,24,697.035,50195.905
threonine,0,127.85,156875.57
threonine,0,72.89,170970.92
threonine,0,45.64,163290.375
threonine,4,111.875,151577.205
threonine,4,149.435,156875.745
threonine,4,189.19,147801.37
threonine,8,292.165,133444.905
threonine,8,356.755,143657.205
threonine,8,399.945,182164.415
threonine,12,359.17,140176.08
threonine,12,431.165,103598.05
threonine,12,329.315,131028.205
threonine,24,1276.88,101685.31
threonine,24,1382.42,125784.425
threonine,24,1360.82,122798.685
tyrosine,0,96.475,163428.55
tyrosine,0,27.925,182246.22
tyrosine,0,74.72,180498.435
tyrosine,4,209.495,164569.68
tyrosine,4,79.235,167957.205
tyrosine,4,136.065,170385.765
tyrosine,8,302.485,136286.47
tyrosine,8,208.61,158336.585
tyrosine,8,758.9,176162.375
tyrosine,12,658.815,152922.135
tyrosine,12,456.75,122585.695
tyrosine,12,814.535,147490.82
tyrosine,24,1359.395,119415.46
tyrosine,24,1884.875,157032.235
tyrosine,24,1548.17,131631.22
