compound,time.pt,unlabeled,labeled
lysine,0,226.33,36677.56
lysine,0,196.42,37189.14
lysine,0,93.11,46023.58
lysine,4,460.66,35982.17
lysine,4,244.34,25028.75
lysine,4,528.67,42610.11
lysine,8,416.03,33163.24
lysine,8,355.38,39609.91
lysine,8,507.72,39430.23
lysine,12,679,30644.62
lysine,12,804.2,30461.89
lysine,12,372.64,25255.22
lysine,24,950.79,27998.88
lysine,24,218.82,18224.87
lysine,24,425.61,22030.13
threonine,0,575.37,240076.31
threonine,0,605.85,210332.8
threonine,0,1238.61,249875.55
threonine,4,1409.99,247375.5
threonine,4,1775.36,234311.62
threonine,4,2306.58,261740.62
threonine,8,2775.86,288557.5
threonine,8,2044.92,278342.28
threonine,8,2727.14,306652
threonine,12,2912.57,254495.92
threonine,12,3639.89,277079.5
threonine,12,3958.69,277988.09
threonine,24,7238.63,351092.66
threonine,24,4073.54,312782
threonine,24,5504.72,402372.16
tyrosine,0,242.11,99362.4
tyrosine,0,254.41,111949.25
tyrosine,0,644.91,135398.16
tyrosine,4,867.3,123597.48
tyrosine,4,764.98,112291.6
tyrosine,4,916.51,147586.38
tyrosine,8,869.18,138194.52
tyrosine,8,1356.4,125335.46
tyrosine,8,918.46,158965.44
tyrosine,12,542.86,109052.34
tyrosine,12,1772.53,117626.34
tyrosine,12,1281.83,126669.34
tyrosine,24,2368.33,128841.55
tyrosine,24,1409.71,120409.7
tyrosine,24,2513.06,157819.8
