compound,time.pt,unlabeled,labeled
tyrosine,0,80.86,155792.16
tyrosine,0,295.195,171817.03
tyrosine,0,190.655,185929.825
tyrosine,4,265.15,162977.81
tyrosine,4,144.42,157820.58
tyrosine,4,339.855,168860.355
tyrosine,8,598.9,170950.265
tyrosine,8,469.865,179652.255
tyrosine,8,388.775,180037.82
tyrosine,12,490.275,161908.51
tyrosine,12,412.235,187121.05
tyrosine,12,346.885,186007.69
threonine,0,589.215,295960.625
threonine,0,593.035,346981.14
threonine,0,367.365,358655.125
threonine,4,629.675,292316
threonine,4,598.815,314939.5
threonine,4,746.785,335176.645
threonine,8,1174.89,286570.53
threonine,8,794.495,326256.11
threonine,8,1156.29,330704.89
threonine,12,1348.145,338203.185
threonine,12,1074.98,314582.735
threonine,12,1237.505,316630.25
lysine,0,173.255,98057.995
lysine,0,634.98,136210.425
lysine,0,330.515,130725.325
lysine,4,486.595,113068.335
lysine,4,443.955,122013.315
lysine,4,609.755,131286.63
lysine,8,830.79,116420.245
lysine,8,458.685,130247.68
lysine,8,453.7,116359.91
lysine,12,671.59,128841.925
lysine,12,1050.29,143917
lysine,12,862.69,136812.96
