compound,time.pt,unlabeled,labeled
tyrosine,0,1676.985,369277.83
tyrosine,0,1348.35,367976.19
tyrosine,0,748.895,359614.72
tyrosine,4,1853.21,367660.765
tyrosine,4,1059.16,365959.94
tyrosine,4,1104.78,417015.845
tyrosine,8,1406.855,226160.06
tyrosine,8,710.225,249629.68
tyrosine,8,749.86,254913.775
tyrosine,12,2758.7,294173.75
tyrosine,12,2290.755,299038
tyrosine,12,1182.43,308262.205
threonine,0,2119.135,433449.455
threonine,0,1384.185,451453.295
threonine,0,1597.315,448446.205
threonine,4,2089.175,474917.75
threonine,4,2117.995,468514.72
threonine,4,1948.35,503167.33
threonine,8,2963.67,351246
threonine,8,1959.09,368863.735
threonine,8,1549.52,369393.14
threonine,12,3951.98,398995.75
threonine,12,3215.015,410016.86
threonine,12,2145.57,421995.75
lysine,0,2677.27,313604.25
lysine,0,1960.595,301432.59
lysine,0,1799.275,307600.5
lysine,4,3629.07,281606.745
lysine,4,3507.155,327040.965
lysine,4,3187.65,331913.47
lysine,8,3219.18,210903.53
lysine,8,1578.435,191492.06
lysine,8,1785.28,210787.195
lysine,12,4562.23,221443.78
lysine,12,3377.375,213509.535
lysine,12,5515.45,233198.43
